CATAID       OBJID             RA          DEC      R_PETRO    ZGAMA   NQ ... SURVEY_CLASS UMAG_DRED_SDSS GMAG_DRED_SDSS RMAG_DRED_SDSS IMAG_DRED_SDSS ZMAG_DRED_SDSS
                              deg          deg        mag                 ...                   mag            mag            mag            mag            mag      
------ ------------------ ------------ ----------- ---------- ------- --- ... ------------ -------------- -------------- -------------- -------------- --------------
585574 588848899914137839 183.41532072 -0.20784812  18.615723 0.32023   4 ...            6      22.564413      20.321875       18.61315      18.036314      17.717182
585584 588848899914203195 183.51649501 -0.06964999  14.944145 0.02094   5 ...            6       17.26568      15.585704     14.8904295      14.572149      14.326939
919103 588848899914203210  183.5317191 -0.13729318  20.194447    -1.0   0 ...            1      22.850857      21.809032      20.064327      19.387922      18.858082
Length = 221373 rows
0.8537807230330708
0.5330821735261301
0.9999548273728052
0.8935732903289922
CATAID       OBJID             RA          DEC      R_PETRO   ZGAMA   NQ ... SURVEY_CLASS UMAG_DRED_SDSS GMAG_DRED_SDSS RMAG_DRED_SDSS IMAG_DRED_SDSS ZMAG_DRED_SDSS
                              deg          deg        mag                ...                   mag            mag            mag            mag            mag      
------ ------------------ ------------ ----------- --------- ------- --- ... ------------ -------------- -------------- -------------- -------------- --------------
585589 588848899914203328 183.48064782 -0.15822451 19.453074 0.18341   4 ...            5      21.894562       20.52974      19.453663      18.945805      18.579258
585591 588848899914203338 183.49789499 -0.16766405 17.603594 0.12429   5 ...            6      19.758217      18.387272       17.65539      17.203344        16.9255
585592 588848899914203383 183.46286329 -0.08433424 18.439117   0.179   4 ...            6      21.375816      19.530548      18.330122      17.764397      17.359926
585600 588848899914203456 183.42823656 -0.02442331 19.335196 0.12242   4 ...            6      20.904034      19.648397      19.229986      18.944212      18.885782
585603 588848899914203511 183.50219516 -0.16954766  19.42929 0.08914   4 ...            5      20.404564      19.604887      19.355776      19.150723      19.380806
585607 588848899914268848 183.60160175 -0.18627266 18.615673 0.18484   4 ...            6      19.831152      19.083632      18.618288      18.319872      18.317358
585606 588848899914268827 183.57423313 -0.07826632 17.959646 0.24766   5 ...            6      22.035128      19.377728      17.913776      17.397978      17.044468
585610 588848899914268877 183.63570571 -0.18036312 18.865356 0.20493   4 ...            6      20.803123      19.725954      18.848455      18.497477      18.334072
585615 588848899914268938 183.58422098 -0.11211127  19.31057 0.24567   4 ...            6      24.717564      20.652142      19.272268      18.766378      18.380993
585614 588848899914268925 183.71178167  -0.0960903 19.142418 0.07533   4 ...            6      20.674902      19.654343      19.179064      18.873573      18.741636
585616 588848899914268949 183.61902358 -0.17371027 19.589815 0.25063   4 ...            5      22.155674       20.53264      19.346394      18.882467      18.424902
585617 588848899914268964 183.66796452 -0.12057847 19.679222    0.25   4 ...            5      22.175056       20.81877       19.74185      19.180178       18.75553
585625 588848899914334328 183.74395576 -0.07660287 16.898457  0.0746   5 ...            6      19.516575      17.695822      16.761557      16.274387      15.892889
585621 588848899914334310 183.72855451  -0.0879786 18.502344 0.07491   4 ...            6      19.743124       18.81925       18.49948      18.259811      18.189035
585622 588848899914334317 183.73711142 -0.04659765 18.083422 0.08874   4 ...            6      20.008574       18.74292      18.056734       17.64515      17.355492
585623 588848899914334321 183.73804065 -0.09442073 17.396034 0.11555   5 ...            6       19.58225      18.029383      17.183279       16.81036      16.462646
585624 588848899914334324 183.73853124 -0.07377459 17.093134 0.07517   5 ...            6        19.6051      17.788397      16.968826      16.622446       16.30887
585630 588848899914334392  183.8403006 -0.04520675  18.90957 0.18375   4 ...            6       20.19667      19.408863      18.883606      18.543715       18.34731
585631 588848899914334413 183.85179334 -0.05796359 17.558254 0.10035   5 ...            6      19.378136      18.078798      17.433777      17.022593      16.812311
585637 588848899914334460 183.79897538 -0.06003434 18.569515 0.24854   4 ...            6      21.399683      19.788664      18.455975      17.959894      17.629805
585640 588848899914334468  183.8093122  -0.0334095  19.67072 0.25267   4 ...            5      23.056776      21.071007      19.627018      19.173925        18.8049
   ...                ...          ...         ...       ...     ... ... ...          ...            ...            ...            ...            ...            ...
585518 588848899914006907 183.08912452 -0.12835606 19.241165 0.07884   4 ...            6      20.464201        19.4976      19.185797        19.0072      18.915258
585520 588848899914006996  182.9859031 -0.02010526 19.520304 0.09039   4 ...            5      21.049744      19.772867      19.453325      19.131826       19.20627
585526 588848899914072192 183.12538929 -0.10689638 18.518887 0.17258   4 ...            6      21.340265       19.62088      18.434252      17.962427      17.670897
585531 588848899914072284  183.2435252 -0.03454561 19.134315 0.23864   4 ...            6        21.1591       20.26033      19.136314      18.936993      18.861837
585538 588848899914072328 183.19018077 -0.15973497 19.454695 0.23155   4 ...            5       22.78005      20.646654      19.423948      18.901525      18.537165
585533 588848899914072309 183.14659223 -0.03283615  19.69578 0.21415   4 ...            5      21.634478      20.695127      19.556665      18.998337      18.677746
585541 588848899914072358  183.2004491 -0.15154129 19.701633 0.25579   4 ...            5      22.655298      20.848997      19.676582       19.18448      18.888275
585543 588848899914072380 183.15754987 -0.19063848 18.739529 0.15911   4 ...            6      20.556871      19.237137      18.644968      18.309034      18.109509
585545 588848899914072409 183.22195413 -0.19974282 19.701263 0.07437   4 ...            5       20.94084      19.832474      19.673595      19.590858      19.724693
585546 588848899914072419 183.24965401 -0.18936742  19.33504 0.08993   4 ...            6       20.32689      19.668339       19.40504      19.188644      19.294735
585552 588848899914137645 183.36367982 -0.15690397 16.604506 0.12584   5 ...            6      19.631811       17.63167      16.603624      16.167711      15.841889
585550 588848899914137622 183.30987646 -0.16971578 17.467304  0.1249   5 ...            6      18.708437      17.792294      17.330225      16.932306      16.864716
585555 588848899914137683  183.4228352 -0.05475384 19.385448 0.12586   4 ...            6       22.15147      20.357172      19.376585        18.9951      18.740805
585556 588848899914137729 183.30727268 -0.00865174 17.557444 0.10786   5 ...            6      19.187038       18.05318      17.408522       17.04831      16.826414
585560 588848899914137752 183.35680438  -0.1456539 16.742968 0.12619   5 ...            6      19.257435      17.538214      16.595123       16.16717       15.81828
585562 588848899914137770 183.38532557  -0.1233176 17.688494 0.12514   5 ...            6       20.53175      18.630095      17.631653      17.229206      16.925022
585563 588848899914137775 183.39105442 -0.20304912 19.032928 0.09441   4 ...            6      20.595032      19.441114       19.02306      18.727003      18.668371
585558 588848899914137749 183.35402203  -0.1817509 17.682178 0.12725   5 ...            6      19.618296      18.307293      17.636282      17.260311      17.040148
585559 588848899914137750 183.35451752 -0.13221236 18.687809 0.12608   4 ...            6      21.001316      19.416903       18.52723      18.166256      17.864754
585568 588848899914137824 183.35533142 -0.16146445 18.819307  0.1247   4 ...            6      20.849813      19.561117      18.809334      18.452356      18.256641
585577 588848899914137903 183.38907113 -0.02911436 19.387207 0.20089   4 ...            6      20.815376      19.913673      19.304747       19.08552      18.797108
Length = 113687 rows
Writing /global/cscratch1/sd/mjwilson/norberg//GAMA4/gama_gold.fits.
